source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2010,3,ppe_existing,0,168.0,200086.0,200086000.0,0000
T_05_05_1_1_01,Q,2010,3,ppe_new,0,181.0,188600.0,188600000.0,0000
T_05_05_1_1_01,Q,2010,4,commercial,0,18.0,93145.0,93145000.0,0000
T_05_05_1_1_01,Q,2010,4,house,0,143.0,329145.0,329145000.0,0000
T_05_05_1_1_01,Q,2010,4,house_existing,0,118.0,282781.0,282781000.0,0000
T_05_05_1_1_01,Q,2010,4,house_new,0,25.0,46364.0,46364000.0,0000
T_05_05_1_1_01,Q,2010,4,land,0,49.0,28580.0,28580000.0,0000
T_05_05_1_1_01,Q,2010,4,mixed,0,19.0,105499.0,105499000.0,0000
T_05_05_1_1_01,Q,2010,4,multi_unit,0,22.0,85353.0,85353000.0,0000
T_05_05_1_1_01,Q,2010,4,ppe,0,414.0,424927.0,424927000.0,0000
T_05_05_1_1_01,Q,2010,4,ppe_existing,0,171.0,213393.0,213393000.0,0000
T_05_05_1_1_01,Q,2010,4,ppe_new,0,243.0,211534.0,211534000.0,0000
T_05_05_1_1_01,Q,2011,1,commercial,0,5.0,42120.0,42120000.0,0000
T_05_05_1_1_01,Q,2011,1,house,0,128.0,274385.0,274385000.0,0000
T_05_05_1_1_01,Q,2011,1,house_existing,0,94.0,205278.0,205278000.0,0000
T_05_05_1_1_01,Q,2011,1,house_new,0,34.0,69107.0,69107000.0,0000
T_05_05_1_1_01,Q,2011,1,land,0,37.0,35500.0,35500000.0,0000
T_05_05_1_1_01,Q,2011,1,mixed,0,10.0,106570.0,106570000.0,0000
T_05_05_1_1_01,Q,2011,1,multi_unit,0,12.0,60048.0,60048000.0,0000
T_05_05_1_1_01,Q,2011,1,ppe,0,199.0,245037.0,245037000.0,0000
T_05_05_1_1_01,Q,2011,1,ppe_existing,0,152.0,201667.0,201667000.0,0000
T_05_05_1_1_01,Q,2011,1,ppe_new,0,47.0,43370.0,43370000.0,0000
T_05_05_1_1_01,Q,2011,2,commercial,0,13.0,327495.0,327495000.0,0000
T_05_05_1_1_01,Q,2011,2,house,0,199.0,482842.0,482842000.0,0000
T_05_05_1_1_01,Q,2011,2,house_existing,0,134.0,401295.0,401295000.0,0000
T_05_05_1_1_01,Q,2011,2,house_new,0,65.0,81547.0,81547000.0,0000
T_05_05_1_1_01,Q,2011,2,land,0,34.0,30895.0,30895000.0,0000
T_05_05_1_1_01,Q,2011,2,mixed,0,10.0,81083.0,81083000.0,0000
T_05_05_1_1_01,Q,2011,2,multi_unit,0,14.0,67077.0,67077000.0,0000
T_05_05_1_1_01,Q,2011,2,ppe,0,314.0,421515.0,421515000.0,0000
T_05_05_1_1_01,Q,2011,2,ppe_existing,0,191.0,268346.0,268346000.0,0000
T_05_05_1_1_01,Q,2011,2,ppe_new,0,123.0,153169.0,153169000.0,0000
T_05_05_1_1_01,Q,2011,3,commercial,0,9.0,226082.0,226082000.0,0000
T_05_05_1_1_01,Q,2011,3,house,0,149.0,380558.0,380558000.0,0000
