source,freq,year,quarter,geo_label,type_id,condition,market,is_provisional,n,unit,geo_id,p25,median,p75
T_05_05_1_1_02,Q,2020,1,Canton,ppe_existing,existing,libre,0,194.0,CHF_per_object,0000,880000.0,1204000.0,1700000.0
T_05_05_1_1_02,Q,2020,2,Canton,ppe_existing,existing,libre,0,135.0,CHF_per_object,0000,913000.0,1150000.0,1530000.0
T_05_05_1_1_02,Q,2020,3,Canton,ppe_existing,existing,libre,0,193.0,CHF_per_object,0000,955000.0,1288000.0,1750000.0
T_05_05_1_1_02,Q,2020,4,Canton,ppe_existing,existing,libre,0,212.0,CHF_per_object,0000,850000.0,1180000.0,1695000.0
T_05_05_1_1_02,Q,2021,1,Canton,ppe_existing,existing,libre,0,194.0,CHF_per_object,0000,750000.0,1204000.0,1800000.0
T_05_05_1_1_02,Q,2021,2,Canton,ppe_existing,existing,libre,0,208.0,CHF_per_object,0000,865000.0,1213000.0,1613000.0
T_05_05_1_1_02,Q,2021,3,Canton,ppe_existing,existing,libre,0,190.0,CHF_per_object,0000,1021000.0,1295000.0,1680000.0
T_05_05_1_1_02,Q,2021,4,Canton,ppe_existing,existing,libre,0,245.0,CHF_per_object,0000,960000.0,1262000.0,1750000.0
T_05_05_1_1_02,Q,2022,1,Canton,ppe_existing,existing,libre,0,191.0,CHF_per_object,0000,950000.0,1297000.0,1925000.0
T_05_05_1_1_02,Q,2022,2,Canton,ppe_existing,existing,libre,0,221.0,CHF_per_object,0000,795000.0,1200000.0,1800000.0
T_05_05_1_1_02,Q,2022,3,Canton,ppe_existing,existing,libre,0,182.0,CHF_per_object,0000,802000.0,1267000.0,1780000.0
T_05_05_1_1_02,Q,2022,4,Canton,ppe_existing,existing,libre,0,170.0,CHF_per_object,0000,820000.0,1204000.0,1830000.0
T_05_05_1_1_02,Q,2023,1,Canton,ppe_existing,existing,libre,0,178.0,CHF_per_object,0000,890000.0,1250000.0,1650000.0
T_05_05_1_1_02,Q,2023,2,Canton,ppe_existing,existing,libre,0,202.0,CHF_per_object,0000,900000.0,1259000.0,1854000.0
T_05_05_1_1_02,Q,2023,3,Canton,ppe_existing,existing,libre,0,200.0,CHF_per_object,0000,850000.0,1268000.0,1890000.0
T_05_05_1_1_02,Q,2023,4,Canton,ppe_existing,existing,libre,0,207.0,CHF_per_object,0000,810000.0,1300000.0,1600000.0
T_05_05_1_1_02,Q,2024,1,Canton,ppe_existing,existing,libre,0,201.0,CHF_per_object,0000,870000.0,1290000.0,1750000.0
T_05_05_1_1_02,Q,2024,2,Canton,ppe_existing,existing,libre,0,193.0,CHF_per_object,0000,953000.0,1290000.0,1825000.0
T_05_05_1_1_02,Q,2024,3,Canton,ppe_existing,existing,libre,0,200.0,CHF_per_object,0000,910000.0,1303000.0,1655000.0
T_05_05_1_1_02,Q,2024,4,Canton,ppe_existing,existing,libre,0,234.0,CHF_per_object,0000,950000.0,1329000.0,1735000.0
T_05_05_1_1_02,Q,2025,1,Canton,ppe_existing,existing,libre,1,206.0,CHF_per_object,0000,850000.0,1240000.0,1750000.0
T_05_05_1_1_02,Q,2025,2,Canton,ppe_existing,existing,libre,1,227.0,CHF_per_object,0000,895000.0,1350000.0,1810000.0
T_05_05_1_1_02,Q,2025,3,Canton,ppe_existing,existing,libre,1,198.0,CHF_per_object,0000,970000.0,1360000.0,1850000.0
T_05_05_1_1_02,Q,2025,4,Canton,ppe_existing,existing,libre,1,216.0,CHF_per_object,0000,910000.0,1318000.0,1850000.0
T_05_05_1_1_02,Q,2026,1,Canton,ppe_existing,existing,libre,1,179.0,CHF_per_object,0000,990000.0,1381000.0,2000000.0
